Date,Canada,Chile,Mexico,Taiwan China,Hong Kong China,Japan,South Korea,Macao China,Maldives,Cambodia,Indonesia,Singapore,New Zealand,USA,Thailand,Turkey,Australia,Hawaii,Austria,Czech
2023M08,37295.558958977286,1711.063601360871,11230.825329527164,28874.755399152364,3129329.3248032657,250542.5035867027,255876.09521827032,2047118.05355908,28160.836801428326,54254.836651078,72394.58312499619,181708.1290758908,14249.58922361904,198959.4,357724.01058929204,22125.83194755891,52718.0600809555,874.0074934437315,25720.785444088047,23379.810985058786
2023M09,30294.921635507726,1834.8525571497753,10291.696799174886,26819.826868250162,2236418.535638409,385678.66577843565,238404.62363349978,1605687.7465657494,22977.258740224097,49308.963978318076,79553.12724322874,174937.82922595463,13556.132273546193,213957.3748544542,254266.10642408652,22329.789539520727,32194.901882756185,608.2680392087645,20169.958980628766,18514.387316788885
2023M10,30637.08399873785,2151.9364380130683,10478.954285519683,31334.687500003387,2106749.68561301,366275.85176407377,255517.60579861348,1920014.7146494351,24956.069043078012,56605.34793493026,103509.95219912444,139077.79156722926,14233.96478527904,106978.6874272271,284650.0749624063,21632.285098741773,27695.00826149961,466.4136605086525,22052.968087102738,15935.246996395472
2023M11,26548.30257904699,2471.336316206259,12405.97695240131,30085.250235968804,2091983.153431234,241361.2452488628,217143.74297239745,1837686.4392316649,21947.08844885524,62615.985725699116,100838.0237241892,99791.12470620844,13556.714866653916,91015.0672305444,295711.02308064944,19058.292852588333,49009.4585631506,839.5445889155745,14808.827956260273,15643.79902952527
2023M12,34048.75388192781,3116.8899915310317,15918.847870193002,33809.26516913398,1864671.7490708218,207874.88189819123,237049.9578832346,1925698.08593569,28451.146455632876,66318.3519461118,104608.74039509211,120404.5087720758,15514.79845494238,142322.16988944652,396778.60123510665,22540.788634917415,88217.02541367107,1511.1802600480341,20701.207507144994,18948.305069814483
2024M01,22420.15086485404,2186.4549804312587,10813.481296815167,36397.35944559243,1638791.4797433093,148009.49393422852,238131.5663404381,1921934.6195696022,27775.577383810614,65436.39142539686,84002.86711553484,123970.34215010327,14004.200603257255,158262.57566616105,309742.5138062823,14878.145958471152,95907.61301361656,1063.21470335543,10938.37894731013,13159.083037592514
2024M02,17464.3635195664,2535.3029117334545,10556.759676050217,41360.25851039576,1958067.4531383154,149801.15610924357,265643.3928642212,1958720.9176367319,22814.239589177625,77345.98908837774,89464.38803409418,109335.7284850629,11858.824398857432,79131.28783308053,403468.49058395566,15610.631904964377,172633.70342450982,531.607351677715,9418.922903520266,11228.607207084995
2024M03,18839.42065221874,3146.898745195735,13321.138294974648,36741.693870005314,1943614.9460034976,269642.08099663845,254891.56019820296,1674219.7758098266,28415.085748079866,79318.37934206786,117842.08616108801,184299.53154722787,14117.354038137546,79453.64876559445,300539.75999590696,24226.41578131086,99201.84458467324,956.893233019887,10538.517471790936,10150.720429072868
2024M04,18751.1974756291,2460.0804708879123,12348.785402095178,42038.29046946001,1890925.7625862323,485355.74579394923,235374.377025342,1848531.4005404476,31799.18712848982,64504.97621179144,129566.21795177323,189554.73641467214,13301.599843816932,71282.15994455718,448612.2351071435,23233.1200722556,88470.42953429738,589.2167518342667,10695.860098098914,13032.287946132941
2024M05,23726.994251984517,2288.1050967495676,13900.734438172602,39086.94055804344,2637242.0210281364,405138.84699926956,251912.53967060396,1749736.985512959,30879.96844809216,59494.915730044675,103413.62652470637,186067.73762357316,20412.904667488554,95671.56899465164,473634.6213754949,24409.48385851376,105000.01260537113,1060.5901533016802,15356.49240892535,12674.497603244168
2024M06,25925.57924290919,1970.2537313531066,12838.851004514217,37761.872723314125,4157072.454067968,345301.08827276615,268566.31228491757,1611956.8182645212,29920.629149781525,62314.49325534817,127963.37880362572,207834.32066738803,22198.255450209057,105290.60057085798,420504.31616532226,27472.193026994853,110037.37250873435,1365.4701037513805,18810.74992791713,15840.00195484278
2024M07,33790.936402512976,1988.35397741789,12207.780637623964,46176.51488222041,4555808.612518948,473987.5419665071,312611.71507293487,1999126.302387926,36342.41829113412,72977.6352301346,104171.7164056547,346882.62748877576,19833.898396956447,152237.47776926076,616506.3078331117,29598.37469359249,114909.55354515603,908.5969238606746,30536.11301330301,26302.976947733612
